{'01044099999': -10.0, '02293099999': -27.6}
         312338 function calls (307852 primitive calls) in 0.710 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      409    0.004    0.000    0.006    0.000 _compiler.py:243(_optimize_charset)
        3    0.000    0.000    0.006    0.002 response.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _common.py:1(<module>)
        1    0.000    0.000    0.005    0.005 core.py:21(where)
        1    0.000    0.000    0.005    0.005 zipfile.py:1(<module>)
       10    0.000    0.000    0.005    0.000 enum.py:895(_convert_)
    33878    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
     6446    0.002    0.000    0.004    0.000 _parser.py:261(get)
        1    0.000    0.000    0.004    0.004 datetime.py:1(<module>)
       16    0.002    0.000    0.004    0.000 enum.py:1668(convert_class)
  151/144    0.000    0.000    0.004    0.000 typing.py:373(inner)
        1    0.000    0.000    0.004    0.004 bz2.py:1(<module>)
        2    0.000    0.000    0.004    0.002 connection.py:1(<module>)
      153    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        1    0.000    0.000    0.004    0.004 parse.py:1(<module>)
        1    0.000    0.000    0.004    0.004 queue.py:1(<module>)
        1    0.000    0.000    0.004    0.004 random.py:1(<module>)
     2014    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        2    0.000    0.000    0.004    0.002 hashlib.py:82(__get_builtin_constructor)
        7    0.000    0.000    0.004    0.001 typing.py:2891(_make_nmtuple)
  127/124    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        1    0.000    0.000    0.003    0.003 _common.py:17(files)
        2    0.000    0.000    0.003    0.002 readers.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _common.py:59(from_package)
        1    0.000    0.000    0.003    0.003 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.003    0.003 _adapters.py:151(_native)
        1    0.000    0.000    0.003    0.003 _adapters.py:146(_reader)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:1136(get_resource_reader)
        2    0.000    0.000    0.003    0.002 cookies.py:1(<module>)
        1    0.003    0.003    0.003    0.003 idnadata.py:1(<module>)
     5773    0.002    0.000    0.003    0.000 _parser.py:168(__getitem__)
       15    0.001    0.000    0.003    0.000 __init__.py:350(namedtuple)
        6    0.000    0.000    0.003    0.001 typing.py:2910(__new__)
     8275    0.003    0.000    0.003    0.000 _parser.py:240(__next)
     1463    0.001    0.000    0.003    0.000 <frozen codecs>:319(decode)
        1    0.000    0.000    0.003    0.003 decoder.py:1(<module>)
      208    0.001    0.000    0.003    0.000 typing.py:168(_type_check)
        1    0.000    0.000    0.003    0.003 filepost.py:1(<module>)
        1    0.000    0.000    0.003    0.003 constant.py:1(<module>)
       69    0.000    0.000    0.002    0.000 _compiler.py:511(_compile_info)
        1    0.000    0.000    0.002    0.002 base64mime.py:1(<module>)
      252    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
  889/149    0.002    0.000    0.002    0.000 _parser.py:178(getwidth)
       15    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.002    0.002 idna.py:1(<module>)
    36/29    0.000    0.000    0.002    0.000 typing.py:500(__getitem__)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
       10    0.001    0.000    0.002    0.000 enum.py:912(<listcomp>)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
        1    0.000    0.000    0.002    0.002 csv.py:1(<module>)
       29    0.000    0.000    0.002    0.000 typing.py:679(Union)
     2014    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      276    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:392(cached)
       79    0.000    0.000    0.002    0.000 typing.py:1376(__init__)
12383/11384    0.002    0.000    0.002    0.000 {built-in method builtins.len}
     1463    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
        1    0.002    0.002    0.002    0.002 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
        7    0.000    0.000    0.002    0.000 typing.py:2893(<dictcomp>)
      150    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.002    0.002    0.002    0.002 {built-in method builtins.print}
     3985    0.001    0.000    0.002    0.000 _parser.py:256(match)
        1    0.000    0.000    0.002    0.002 fields.py:1(<module>)
        3    0.001    0.000    0.002    0.001 {built-in method builtins.next}
        1    0.000    0.000    0.002    0.002 poolmanager.py:1(<module>)
        1    0.000    0.000    0.002    0.002 base64.py:1(<module>)
      212    0.000    0.000    0.002    0.000 typing.py:159(_type_convert)
